country,latitude,longitude,area
PL,51.919438,19.145136,Poland
DK,56.26392,9.501785,Denmark
SE,60.128161,18.643501,Sweden
IT,41.87194,12.56738,Italy
PT,39.399872,-8.224454,Portugal
ES,40.463667,-3.74922,Spain
HU,47.162494,19.503304,Hungary
GB,55.378051,-3.435973,United Kingdom of Great Britain and Northern Ireland
AN,12.226079,-69.060087,Netherlands Antilles
CZ,49.8037633,15.4749126,Czechoslovakia
MT,35.937496,14.375416,Malta
IE,53.41291,-8.24389,Ireland
